"","word","relative_frequency"
"1","sound",1.81733060946544
"2","record",1.6565467408164
"3","music",1.27161124352136
"4","archiv",0.890931789808194
"5","audio",0.792096999962169
"6","read",0.751901032799909
"7","new",0.687587485340294
"8","listen",0.675765142057277
"9","collect",0.602939507433889
"10","librari",0.548556728332009
"11","thank",0.519710210721447
"12","british",0.505996292513146
"13","now",0.417565164756176
"14","free",0.37973366625052
"15","year",0.360817916997692
"16","europeana",0.357980554609768
"17","poetri",0.353251617296561
"18","uk",0.350887148639958
"19","mp3",0.336227442969016
"20","today",0.333390080581092
"21","poem",0.326769568342602
"22","work",0.322986418492036
"23","help",0.303124881776567
"24","project",0.303124881776567
"25","week",0.294612794612795
"26","cheryltipp",0.294139900881474
"27","us",0.290356751030908
"28","blog",0.288938069836946
"29","world",0.284209132523739
"30","radio",0.283263345061098
"31","day",0.277588620285249
"32","video",0.270022320584118
"33","europeanaeu",0.269549426852798
"34","perform",0.261983127151666
"35","live",0.261510233420346
"36","histori",0.261037339689025
"37","great",0.260091552226384
"38","saveoursound",0.25063367759997
"39","stori",0.241648696704876
"40","film",0.240702909242235
"41","can",0.239757121779594
"42","first",0.239757121779594
"43","save",0.213275072825635
"44","peopl",0.209491922975069
"45","know",0.205708773124503
"46","creat",0.198142473423372
"47","one",0.192940642378845
"48","love",0.190576173722241
"49","talk",0.188684598796958
"50","internet",0.187738811334317
"51","use",0.183482767752431
"52","hear",0.180172511633186
"53","time",0.178753830439224
"54","digit",0.177335149245262
"55","like",0.170714637006772
"56","interview",0.165985699693565
"57","onlin",0.165985699693565
"58","look",0.163621231036961
"59","download",0.161729656111679
"60","soundcloud",0.160783868649037
"61","book",0.155109143873189
"62","preserv",0.154636250141868
"63","just",0.150853100291303
"64","made",0.149907312828661
"65","confer",0.146124162978096
"66","daili",0.143759694321492
"67","map",0.143286800590171
"68","stream",0.140922331933568
"69","link",0.140449438202247
"70","ever",0.13524760715772
"71","ht",0.13524760715772
"72","stein",0.134774713426399
"73","poet",0.132883138501116
"74","want",0.131464457307154
"75","ago",0.129572882381871
"76","directori",0.129572882381871
"77","morn",0.127208413725268
"78","ad",0.125789732531306
"79","see",0.125789732531306
"80","compos",0.125316838799985
"81","natur",0.125316838799985
"82","come",0.123898157606023
"83","call",0.123425263874702
"84","gertrud",0.122952370143381
"85","vi",0.122479476412061
"86","top",0.120587901486778
"87","amaz",0.120115007755457
"88","htt",0.120115007755457
"89","voic",0.120115007755457
"90","heritag",0.119642114024136
"91","avail",0.119169220292816
"92","cd",0.119169220292816
"93","play",0.119169220292816
"94","john",0.118223432830174
"95","interest",0.116331857904892
"96","blworldtrad",0.11538607044225
"97","cultur",0.114440282979609
"98","check",0.112548708054326
"99","robert",0.112075814323005
"100","get",0.111602920591685
"101","follow",0.111130026860364
"102","go",0.109711345666402
"103","happi",0.10876555820376
"104","make",0.10876555820376
"105","nation",0.10829266447244
"106","w",0.106401089547157
"107","head",0.105928195815836
"108","open",0.105928195815836
"109","best",0.105455302084516
"110","song",0.105455302084516
"111","eusounds15",0.104982408353195
"112","need",0.104982408353195
"113","william",0.103563727159233
"114","latest",0.103090833427912
"115","art",0.102617939696591
"116","news",0.102145045965271
"117","let",0.10167215223395
"118","seri",0.101199258502629
"119","h",0.100726364771309
"120","jacket2mag",0.0988347898460258
"121","million",0.0988347898460258
"122","chrlesbernstein",0.0974161086520637
"123","textfil",0.0964703211894223
"124","2015",0.0950516399954602
"125","explor",0.0945787462641395
"126","2",0.0941058525328188
"127","launch",0.0936329588014981
"128","next",0.0931600650701774
"129","page",0.0926871713388567
"130","imag",0.0912684901448946
"131","show",0.0912684901448946
"132","podcast",0.0907955964135739
"133","david",0.0903227026822532
"134","wonder",0.0903227026822532
"135","200",0.0898498089509325
"136","enjoy",0.0893769152196119
"137","join",0.0893769152196119
"138","cc",0.0879582340256498
"139","good",0.0879582340256498
"140","find",0.0874853402943291
"141","beauti",0.0865395528316877
"142","last",0.0865395528316877
"143","embed",0.0855937653690463
"144","here",0.0851208716377256
"145","post",0.0846479779064049
"146","heard",0.0841750841750842
"147","present",0.0841750841750842
"148","way",0.0841750841750842
"149","meet",0.0837021904437635
"150","releas",0.0837021904437635
"151","charl",0.0832292967124428
"152","1",0.0827564029811221
"153","discov",0.0818106155184807
"154","editathon",0.0818106155184807
"155","hundr",0.0818106155184807
"156","nice",0.0818106155184807
"157","soundandmus",0.0818106155184807
"158","tommilesz",0.0818106155184807
"159","complet",0.08133772178716
"160","dig",0.08133772178716
"161","lost",0.08133772178716
"162","text",0.08133772178716
"163","eusounds16",0.0808648280558393
"164","ff",0.0808648280558393
"165","machin",0.0808648280558393
"166","access",0.0803919343245186
"167","mirror",0.0803919343245186
"168","celebr",0.0799190405931979
"169","share",0.0799190405931979
"170","petabyt",0.0794461468618772
"171","mustazza",0.0789732531305565
"172","ginsberg",0.0780274656679151
"173","creeley",0.0775545719365944
"174","ele",0.0770816782052737
"175","festiv",0.0770816782052737
"176","tri",0.0770816782052737
"177","around",0.076608784473953
"178","life",0.076608784473953
"179","oral",0.0756629970113116
